
YY_GL_ACCOUNT_ANALYSIS_CSV_PRC          ,       27.73                                                                                                                                                                                                                                                                                                                                                                                                                                                               
YY_GL_ACCOUNT_ANALYSIS_CSV_PRC          ,       15.38                                                                                                                                                                                                                                                                                                                                                                                                                                                               
YY_GL_ACCOUNT_ANALYSIS_CSV_PRC          ,       14.97                                                                                                                                                                                                                                                                                                                                                                                                                                                               
XXSREI GL Account Analysis Report       ,        5.37                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI Vendor-Aging by GL                 ,         5.2                                                                                                                                                                                                                                                                                                                                                                                                                                                               
XXSREI Bank Reconciliation Statement Rep,        1.52                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ort for SEFPL                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Onboarding Checklist Generations Program,         .02                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SREI SEFPL Payable Invoice Voucher      ,         .02                                                                                                                                                                                                                                                                                                                                                                                                                                                               
